Working_in,involvement_software,Age,Gender,Country,Education,employment_status,Role,Number_of_employees,project_team,Meeting_interrupted,Eye_contact,Asked_question_to_another,Presented_idea,Menial_tasks,Managing,Make_necessary_decisions,Team_values,Aggressive_or_bossy,Excluded_from_social,unfairly_treated,Biggest_obstacle,Harassment,Sexism,Growth_opportunities,Fairly compensated,Start_over,More_challenging_gender,Which_gender?,Anything_else?,Summary_or_contact
Yes,6-10 years,26-35,Male,Romania,Masters degree,Full-time (38+ hours a week),Developer,10 - 100,21 - 25,Sometimes,Rarely,Rarely,Never,Never,True,Strongly agree,Strongly agree,one or two times,no. never,No,idiots that don't know they're idiots,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Strongly agree,Strongly agree,Strongly agree,Agree,Female. Non-binary,No,no thank you
Yes,21+ years,46-55,Female,France,Doctorate,Full-time (38+ hours a week),Head of Research Unit,1001 - 10.000,6 - 10,Rarely,Rarely,Rarely,Never,Sometimes,True,Strongly agree,Strongly agree,no. never,no. never,Not for the moment,No particular obstacle,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Strongly agree,Strongly agree,Strongly agree,Neutral,,I would suggest to ask for the gender in the questionnaire :),Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,2-5 years,18-25,Male,United States,Bachelors degree,Full-time (38+ hours a week),Developer,101 - 500,6 - 10,Sometimes,Never,Never,Never,Never,Untrue,Agree,Agree,no. never,no. never,Yea one of our devs treats everyone unfairly and that they don’t know what they are doing. He insists he’s bad at communicating and being misunderstood for a while I thought it was due my age/limited experience ,Myself ,I have witnessed this behaviour,I have witnessed this behaviour,Strongly agree,Agree,Strongly agree,Agree,Female. Non-binary,I work partly in a remote team gear the answers to be able to select remote options ,Yes I would like to obtain a summary of the results
Yes,2-5 years,26-35,Female,Switzerland,Doctorate,Full-time (38+ hours a week),Developer,100.000+,1 - 5,Very often,Rarely,Sometimes,Sometimes,Sometimes,Untrue,Neutral,Agree,one or two times,one or two times,,,I have witnessed this behaviour,I have experienced this behaviour,Agree,Agree,Neutral,Strongly agree,Female. Non-binary,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,2-5 years,26-35,Male,Finland,Bachelors degree,Full-time (38+ hours a week),Developer,101 - 500,6 - 10,Rarely,Rarely,Rarely,Never,Never,True,Neutral,Agree,no. never,no. never,No,,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Strongly agree,Neutral,Strongly agree,Neutral,,,no thank you
Yes,2-5 years,18-25,Non-binary,Turkey,Bachelors degree,Unemployed (looking for a job),Developer,10 - 100,6 - 10,Rarely,Never,Sometimes,Rarely,Never,Untrue,Agree,Agree,no. never,three or four times,Not me in specific but unpaid overtime. off-hours work and tasks outside the purview of the job description are all very common.,People: Obstinate and opinionated managers with no technical skills. skillful and intelligent but sociopathic and abrasive coworkers.,I have experienced and witnessed this behaviour,I have experienced and witnessed this behaviour,Agree,Disagree,Agree,Strongly agree,Non-binary,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,Less than 2 years,26-35,Female,Belgium,Masters degree,Full-time (38+ hours a week),Architect,100.000+,1 - 5,Sometimes,Rarely,Never,Never,Sometimes,Untrue,Agree,Strongly agree,no. never,no. never,No. My company strives on being human. avoiding discrimination and actively takes steps to train everyone. especially management. on inclusion&diversity as well as unconscious bias. While ignorant comments or people still exist. the culture and related peer pressure make it very difficult for those negative people/things to trickle down into business practices,Luck or lack thereof. I am seen as not very strong technically. which isn't entirely false. because I had many short projects in which I did not have the chance to deepen my knowledge ,I have witnessed this behaviour,I have witnessed this behaviour,Agree,Agree,Strongly agree,Strongly agree,Female. Non-binary,Most negative experiences are related to clients behaviour. Big software companies at least have changed their practices to make efforts to source and retain talent from different pools and population groups.,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,21+ years,46-55,Male,United States,Bachelors degree,Self-employed,Product owner,I am a freelancer,1 - 5,Sometimes,Rarely,Never,Very often,Rarely,Untrue,Strongly agree,Agree,one or two times,three or four times,favoritism. herd mentality,Cognitive biases. some lack of integrity,I have experienced and witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Agree,Strongly agree,Agree,Female,,Yes I would like to obtain a summary of the results
Yes,6-10 years,26-35,Male,United States,Bachelors degree,Full-time (38+ hours a week),Developer,10 - 100,1 - 5,Sometimes,Never,Never,Never,Never,Untrue,Agree,Agree,no. never,no. never,No,Being young can often be a knock against promotion or raises even if it is merited. ,I have witnessed this behaviour,I have witnessed this behaviour,Strongly agree,Neutral,Strongly agree,Agree,Female,,no thank you
Yes,Less than 2 years,18-25,Male,Spain,Bachelors degree,Full-time (38+ hours a week),Data scientist,101 - 500,6 - 10,Rarely,Never,Rarely,Never,Never,Untrue,Strongly disagree,Neutral,no. never,no. never,,Introducing state-of-the-art methodologies and new knowledge,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Disagree,Agree,Strongly agree,Agree,Non-binary,,Yes I am willing to keep in touch in case additional information is needed.
Yes,11-15 years,26-35,Male,United Kingdom,Bachelors degree,Full-time (38+ hours a week),Developer,Less than 10,1 - 5,Sometimes,Rarely,Rarely,Never,Never,True,Strongly agree,Strongly agree,no. never,no. never,No,Lack of development resources (human),I haven't experienced or witnessed this behaviour,I have witnessed this behaviour,Neutral,Agree,Strongly agree,Disagree,,,Yes I am willing to keep in touch in case additional information is needed.
Yes,11-15 years,26-35,Male,Netherlands,Bachelors degree,Part-time (less than 38 hours a week),Architect,101 - 500,6 - 10,Rarely,Never,Sometimes,Never,Rarely,True,Neutral,Agree,no. never,one or two times,No,,I have witnessed this behaviour,I have witnessed this behaviour,Neutral,Neutral,Strongly agree,Agree,Female. Non-binary,,no thank you
Yes,11-15 years,36-45,Male,United States,Masters degree,Full-time (38+ hours a week),Developer,501 - 1000,26+,Sometimes,Rarely,Rarely,Rarely,Rarely,True,Agree,Agree,no. never,no. never,I've been rejected by interviewers for positions where I was a good fit largely - I suspect - because the company's image of the ideal candidate is someone younger,Constant distractions in the forms of status update requests,I have witnessed this behaviour,I haven't experienced or witnessed this behaviour,Neutral,Agree,Agree,Disagree,,,no thank you
Yes,6-10 years,26-35,Male,United Kingdom,Masters degree,Part-time (less than 38 hours a week),Developer,Less than 10,1 - 5,Sometimes,Sometimes,Rarely,Rarely,Rarely,Untrue,Strongly agree,Strongly agree,no. never,no. never,,Burnout caused by poor leadership,I have witnessed this behaviour,I have witnessed this behaviour,Neutral,Disagree,Agree,Agree,Female,,no thank you
Yes,2-5 years,18-25,Male,Austria,Bachelors degree,Full-time (38+ hours a week),Developer,501 - 1000,16 - 20,Rarely,Never,Sometimes,Rarely,Never,Untrue,Strongly agree,Strongly agree,no. never,no. never,,,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Neutral,Strongly agree,Strongly disagree,,,no thank you
Yes,11-15 years,26-35,Male,Hungary,Bachelors degree,Full-time (38+ hours a week),Developer,1001 - 10.000,6 - 10,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Untrue,Disagree,Neutral,no. never,no. never,,,I haven't experienced or witnessed this behaviour,I have experienced and witnessed this behaviour,Neutral,Neutral,Strongly agree,Neutral,,,Yes I would like to obtain a summary of the results
Yes,11-15 years,26-35,Female,Switzerland,Doctorate,Full-time (38+ hours a week),Head of Data Analytics,100.000+,6 - 10,Sometimes,Sometimes,Rarely,Sometimes,Never,True,Agree,Agree,three or four times,one or two times,yes. gender and age do play a role and working in an engineering company that is strongly old white male dominated is not something that goes unnoticed. Too many people have a lot of unconscious bias. e.g.. reflected in the assumption that women cannot be in leading roles. highly educated. work full time or be in technical roles. Especially when meeting others for the first time. I have often felt I was not taken seriously. which usually changed after I got the chance to prove myself. but there is often a period and need to demonstrate what I am worth before winning others' trust. Maybe it's my appearance. my age. gender or I don't know what else it can be.,Having enough patience with the people around me that take me as a young little girl at first. without assessing any facts related to my experience. background or skills.,I have experienced and witnessed this behaviour,I have experienced and witnessed this behaviour,Strongly agree,Neutral,Strongly agree,Strongly agree,Female,I'm really excited and curious about the results of this study. please let me know when you publish :),Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,16-20 years,26-35,Male,United States,Masters degree,Full-time (38+ hours a week),Chief Software Engineer,100.000+,6 - 10,Rarely,Rarely,Sometimes,Rarely,Rarely,True,Strongly agree,Strongly agree,no. never,no. never,No.,Bureaucracy and resistance to change. Many in my organization are content to maintain current processes and software development methodologies and technologies despite some significant waste and other problems. It has been challenging to modernize processes and technologies and to eliminate process waste.,I have experienced and witnessed this behaviour,I have witnessed this behaviour,Strongly agree,Disagree,Strongly agree,Agree,Female. Non-binary,I'm pleased with how my organization has worked to eliminate/minimize harassment and discrimination. I've seen little to none of it where I currently work.,no thank you
Yes,2-5 years,26-35,Male,Turkey,Masters degree,Full-time (38+ hours a week),Developer,1001 - 10.000,26+,Sometimes,Never,Always,Rarely,Rarely,Untrue,Neutral,Neutral,one or two times,no. never,I think software industry is totally unfair. Once you started in an area of software industry. you are compelled to continue through it. For example I am an avionics software engineer but i can't find a position in blockchain tech companies because they find me weirdo. ,The people who became boss/manager just because his/her age. but not knowledge. ,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Neutral,Agree,Strongly agree,Neutral,,More power to you guys! ,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,21+ years,36-45,Female,United States,Bachelors degree,Full-time (38+ hours a week),Developer,I am a freelancer,26+,Sometimes,Very often,Very often,Sometimes,Never,True,Strongly agree,Strongly agree,three or four times,More than four times,,,I have experienced this behaviour,I have experienced this behaviour,Agree,Strongly agree,Strongly agree,Neutral,,,no thank you
